Row Labels,Sum of placed_gmv,Count of Years (order_date)
15347,25582.8,18
1ad253f,1134,1
Qtr4,1134,1
1bd7217,680.4,2
Qtr4,680.4,2
1e0aa07,7057.92,1
Qtr4,7057.92,1
2befcbf,226.8,1
Qtr4,226.8,1
2c4788d,907.2,1
Qtr4,907.2,1
414a05b,1134,1
Qtr4,1134,1
494cffd,453.6,1
Qtr4,453.6,1
4a997a8,10586.88,1
Qtr3,10586.88,1
5d2452e,680.4,1
Qtr4,680.4,1
730602a,226.8,1
Qtr4,226.8,1
7e26207,226.8,1
Qtr3,226.8,1
8c96bf5,453.6,1
Qtr4,453.6,1
ad21491,226.8,1
Qtr4,226.8,1
af5d181,226.8,1
Qtr4,226.8,1
c1a7895,1134,2
Qtr4,1134,2
c9cb7af,226.8,1
Qtr4,226.8,1
85272,350468.2,344
51900,250.32,1
Qtr4,250.32,1
426480,972,1
Qtr4,972,1
524719,248.52,1
Qtr4,248.52,1
555255,247.56,1
Qtr4,247.56,1
702599,1463.76,1
Qtr4,1463.76,1
1665343,972,1
Qtr4,972,1
1668234,487.92,1
Qtr4,487.92,1
2200596,251.1,1
Qtr4,251.1,1
2716757,247.56,1
Qtr4,247.56,1
2950928,500.64,1
Qtr4,500.64,1
4900002,248.52,1
Qtr4,248.52,1
5383744,7862.4,1
Qtr4,7862.4,1
7417605,7862.4,1
Qtr4,7862.4,1
8043938,500.64,1
Qtr4,500.64,1
8955866,495.12,1
Qtr4,495.12,1
9130755,248.52,1
Qtr4,248.52,1
9343641,500.64,1
Qtr4,500.64,1
9689156,498.66,2
Qtr4,498.66,2
3.09E+32,487.92,1
Qtr4,487.92,1
2.61E+60,975.84,1
Qtr4,975.84,1
00c3c03,487.92,1
Qtr4,487.92,1
00f1f45,2679.96,3
Qtr4,2679.96,3
01ada02,500.64,1
Qtr4,500.64,1
028265c,487.92,1
Qtr4,487.92,1
059a915,487.92,1
Qtr4,487.92,1
068837d,500.64,1
Qtr4,500.64,1
09367ed,7843.2,1
Qtr4,7843.2,1
097a998,1001.28,2
Qtr4,1001.28,2
09921b7,250.32,1
Qtr4,250.32,1
09a31cc,492.96,1
Qtr4,492.96,1
09bd5c8,500.64,1
Qtr4,500.64,1
09dbead,492.96,1
Qtr4,492.96,1
0a07634,488.16,1
Qtr4,488.16,1
0a3ad0f,500.64,1
Qtr4,500.64,1
0a4b980,985.92,1
Qtr4,985.92,1
0a9cfe9,248.52,1
Qtr4,248.52,1
0c4bfe3,247.56,1
Qtr4,247.56,1
0ce5af5,500.64,1
Qtr4,500.64,1
0e1b2b8,250.32,1
Qtr4,250.32,1
0e59d5d,248.52,1
Qtr4,248.52,1
0efd70e,500.64,1
Qtr4,500.64,1
0f562f2,250.32,1
Qtr4,250.32,1
0f7971a,1001.28,1
Qtr4,1001.28,1
109d0c5,251.1,1
Qtr4,251.1,1
12158d8,487.92,1
Qtr4,487.92,1
12c0b39,247.56,1
Qtr4,247.56,1
134a82d,492.96,1
Qtr4,492.96,1
1504c10,1001.28,1
Qtr4,1001.28,1
17ae0c7,500.64,1
Qtr4,500.64,1
18687cb,487.92,1
Qtr4,487.92,1
1ad0ffb,988.08,2
Qtr4,988.08,2
1d21b8b,1001.28,1
Qtr4,1001.28,1
1d4ea36,250.32,1
Qtr4,250.32,1
1d94c0f,500.64,1
Qtr4,500.64,1
1dcf766,500.64,1
Qtr4,500.64,1
1e3410b,975.84,2
Qtr4,975.84,2
1ea811c,250.32,1
Qtr4,250.32,1
206fb33,1501.92,1
Qtr4,1501.92,1
208cf2e,750.96,1
Qtr4,750.96,1
20ca34e,500.64,2
Qtr4,500.64,2
21e8cdd,492.96,1
Qtr4,492.96,1
21f2191,498.84,2
Qtr4,498.84,2
2440a54,487.92,1
Qtr4,487.92,1
253e4e0,1249.62,3
Qtr4,1249.62,3
27b607a,250.32,1
Qtr4,250.32,1
28062dc,248.52,1
Qtr4,248.52,1
28d4dab,500.64,1
Qtr4,500.64,1
295e624,5941.44,4
Qtr4,5941.44,4
29788fe,500.64,1
Qtr4,500.64,1
29bc7e5,500.64,1
Qtr4,500.64,1
2b9e47f,500.64,1
Qtr4,500.64,1
2c6933c,487.92,1
Qtr4,487.92,1
2c9d630,500.64,1
Qtr4,500.64,1
2cb97a1,1463.76,1
